,gene_name,p-value,logFC,-logQ
36,Gabarap,2.2228750871178624e-05,1.4391425,4.6530849414843845
37,Rpl9,2.5173782754060748e-05,1.2145728,4.599051520018644
38,Ctsl,2.9629755691339586e-05,1.3547573,4.52827192942918
39,Rpl32,2.9707426482737925e-05,1.1537745,4.527134968955526
40,Rpl18a,3.315005381577972e-05,1.382995,4.479515762225205
41,mt-Rnr2,3.8036810897776776e-05,0.6373552,4.4197959025536955
42,Dad1,3.82339857134684e-05,1.5569597,4.417550426460707
43,Cxcl14,4.0992634938494614e-05,1.020151,4.387294165058237
44,Rps7,5.006219277178593e-05,1.5236208,4.3004901317987025
45,Cd302,5.0189968911145824e-05,1.3287753,4.299383073330136
46,Emp3,6.613091535609812e-05,1.672983,4.179595465934289
47,Cd63,6.953352789962454e-05,1.1678282,4.157805735399787
48,Hsp90ab1,7.183334193794646e-05,1.0863051,4.143673928200604
49,Cd9,8.279337274057836e-05,1.8388215,4.082004425260857
50,Vmp1,8.67852783086223e-05,2.1901202,4.061553939473036
51,Ppia,0.00010061870533355628,1.0880523,3.9973212750654263
52,Naca,0.0001179419335953733,1.366692,3.9283317564724296
53,Ccdc12,0.00011996676316673529,1.7620015,3.920939058724458
54,Rps3a1,0.00018611493739164876,0.99859726,3.730218769446175
55,Rps11,0.00021240499367095156,1.1903133,3.672835277146854
56,Cdc42ep3,0.0002596553960690036,1.481429,3.585602647616811
57,Cd81,0.0002764150271336029,1.245113,3.5584383505026045
58,Rpl8,0.0002828756136817354,1.0975997,3.548404490860274
59,Htra1,0.0002848412103697466,2.3805315,3.5453971774599373
60,Rpl14,0.0003188133418062894,1.2714026,3.4964635123963514
61,Sec11a,0.00032027743711814186,1.8322295,3.4944736554049762
62,Timp1,0.00036144744927991507,2.7088733,3.4419548357048564
63,Rpl18,0.00036474743042447586,1.2466165,3.4380077589448654
64,Selk,0.0003993326936555294,1.3012737,3.3986651323477464
65,Rpl10a,0.00040023535429324245,1.2619768,3.3976845511413347
66,S100a6,0.00046942347645904193,1.3230145,3.3284351945804973
67,Rps4x,0.0004715251626507279,1.1159072,3.326495126449934
68,H2-K1,0.0004789503909423415,0.66004145,3.319709467912688
69,Emp2,0.0005436007763941424,1.7286775,3.264719931660936
70,Chchd2,0.0005460104480928035,1.1478878,3.2627990468453785
71,Wif1,0.0005820878047212802,1.9917572,3.235011499491506
72,Tpt1,0.0005885279790770511,0.9459142,3.2302328856329003
73,Csmd1,0.0006122659032048576,1.6921451,3.213059925542709
74,Eva1b,0.0006355003624833293,1.6568247,3.196884197392483
75,Rps13,0.0007368846179717815,1.0913407,3.1326005090216507
76,Timm13,0.0007546321887979715,1.4993815,3.122264673930692
77,Rpl28,0.000801614578129506,1.0916554,3.0960343933435572
78,Pfdn5,0.0008404181858620782,1.3329077,3.075504558438746
79,Rpl7a,0.0008678663959021742,1.192625,3.0615471273447583
80,Ssr4,0.0009272461143681733,1.5023,3.0328049779098367
81,Phlda3,0.0009716465607099142,2.4630628,3.0124916822418646
82,Limch1,0.0009988004334918362,1.477174,3.000521277831431
83,Pmepa1,0.0010201642389388314,1.5808649,2.9913299043921087
84,Rpl12,0.001224687399676244,1.0150758,2.9119747504182714
85,Itm2b,0.001339192961968907,0.5583971,2.8731568417478424
86,Drap1,0.0019534876230776483,1.8078643,2.7091893360368977
87,Myl6,0.0021938289361130773,1.0012071,2.658797239568296
88,Manf,0.0022873310388801743,1.4098226,2.640670976646045
89,Gadd45b,0.0024224591450118307,1.7385411,2.6157435386303605
90,Pfn1,0.0024561526211128656,1.1173124,2.6097446503778747
91,Tmed9,0.0024902744279287816,1.4465413,2.6037527910697422
92,Serpina3n,0.0024902744279287816,5.21742,2.6037527910697422
93,Mmp2,0.002590168901366157,2.3978212,2.586671915247075
94,Paip2,0.0027042747415159754,1.4241334,2.5679491882248455
95,Nudt4,0.002757644071812901,0.9809147,2.559461788784833
96,Axl,0.0028728643255199423,3.6752706,2.541684883604067
97,Fap,0.002912236996982526,1.2872905,2.5357732851647827
98,Nfkbia,0.00302745946068079,1.58299,2.518921663583922
99,Rpl36,0.0030628283410353025,1.0038344,2.5138773429355834
100,Rabac1,0.0031226147646458884,1.1243229,2.5054815911487003
101,Ctsz,0.003140757054982449,1.2178549,2.5029656560119173
102,Prkcdbp,0.0031834633296929232,2.74092,2.4971001484085065
103,Gpx3,0.0032266982179077297,0.74845725,2.4912416507802053
104,Hmgb1,0.0032266982179077297,1.1051193,2.4912416507802053
105,Eif1,0.0034444051441934126,0.59666055,2.4628857708249163
106,Map1lc3b,0.0035243800151503143,1.083921,2.452917270071315
107,Rpsa,0.0035786313706040085,0.8806323,2.4462830353227
108,Srrm2,0.0035923123763123748,0.8869985,2.444625905465162
